MsgID.STATE,1527096366.7015741,False,False
MsgID.GLOBAL_HOME,1527096366.7021511,-122.3957519,37.7932815,0.0000000
MsgID.GLOBAL_POSITION,1527096366.7025049,-122.3957485,37.7932794,0.2430000
MsgID.LOCAL_VELOCITY,1527096366.7025049,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1527096366.7028797,-0.2356507,0.3024147,-0.2436385
MsgID.LOCAL_VELOCITY,1527096366.7028797,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1527096366.7033262,-122.3957493,37.7932813,0.2420000
MsgID.LOCAL_VELOCITY,1527096366.7033262,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1527096366.7037904,-0.0280953,0.2341281,-0.2423017
MsgID.LOCAL_VELOCITY,1527096366.7037904,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1527096366.7042220,-122.3957489,37.7932809,0.2390000
MsgID.LOCAL_VELOCITY,1527096366.7042220,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1527096366.7046905,-0.0723977,0.2691355,-0.2399712
MsgID.LOCAL_VELOCITY,1527096366.7046905,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1527096366.7051826,-122.3957464,37.7932794,0.2350000
MsgID.LOCAL_VELOCITY,1527096366.7051826,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1527096366.7056780,-0.2380501,0.4899932,-0.2356290
MsgID.LOCAL_VELOCITY,1527096366.7056780,0.0000000,0.0000000,-0.0000000
MsgID.STATE,1527096366.7064493,False,False
MsgID.GLOBAL_HOME,1527096366.7070277,-122.3957519,37.7932815,0.0000000
MsgID.GLOBAL_POSITION,1527096366.7074757,-122.3957470,37.7932790,0.2270000
MsgID.LOCAL_VELOCITY,1527096366.7074757,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1527096366.7079763,-0.2809944,0.4363181,-0.2276300
MsgID.LOCAL_VELOCITY,1527096366.7079763,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1527096366.7084768,-122.3957469,37.7932804,0.2130000
MsgID.LOCAL_VELOCITY,1527096366.7084768,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1527096366.7089543,-0.1188539,0.4491393,-0.2132032
MsgID.LOCAL_VELOCITY,1527096366.7089543,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1527096366.7094321,-122.3957454,37.7932795,0.1890000
MsgID.LOCAL_VELOCITY,1527096366.7094321,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1527096366.7099156,-0.2255678,0.5760474,-0.1895555
MsgID.LOCAL_VELOCITY,1527096366.7099156,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1527096366.7104087,-122.3957469,37.7932785,0.1540000
MsgID.LOCAL_VELOCITY,1527096366.7104087,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1527096366.7109191,-0.3351662,0.4425062,-0.1548082
MsgID.LOCAL_VELOCITY,1527096366.7109191,0.0000000,0.0000000,-0.0000000
MsgID.STATE,1527096366.7724211,False,False
MsgID.GLOBAL_HOME,1527096366.7744601,-122.3957519,37.7932815,0.0000000
MsgID.GLOBAL_POSITION,1527096366.8318899,-122.3957473,37.7932787,0.1100000
MsgID.LOCAL_VELOCITY,1527096366.8318899,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1527096366.8325047,-0.3072848,0.4123417,-0.1108560
MsgID.LOCAL_VELOCITY,1527096366.8325047,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1527096367.0821598,-122.3957492,37.7932799,0.0630000
